ADDA,20210930,40,73,22,46,0
ADDC,20210930,18,23,-66,-12,0
ADDE,20210930,771,835,-1014,-1014,0
ADDN,20210930,583,688,-1018,-874,0
ADDQ,20210930,1043,1200,-396,-149,0
ADDS,20210930,146,256,-355,-285,0
ADDT,20210930,1666,1945,-1387,-977,0
ADDU,20210930,-40,-40,-400,-294,0
ADDV,20210930,53,53,-62,9,0
ADDX,20210930,217,284,-446,-288,0
ADRA,20210930,1.63,2.17,1.25,1.63,0
ADRC,20210930,1.21,1.25,0.67,0.93,0
ADRE,20210930,3.15,3.15,0.43,0.43,0
ADRN,20210930,1.85,2.04,0.33,0.4,0
ADRQ,20210930,2.2,2.37,0.77,0.91,0
ADRS,20210930,1.42,1.69,0.62,0.71,0
ADRT,20210930,2.03,2.22,0.59,0.69,0
ADRU,20210930,0.95,0.95,0.81,0.87,0
ADRV,20210930,1.28,1.28,0.86,1.02,0
ADRX,20210930,1.35,1.39,0.71,0.82,0
ADVA,20210930,103,135,102,119,703252400
ADVC,20210930,100,171,100,168,27626800
ADVE,20210930,1128,1281,779,779,936254200
ADVN,20210930,1263,1347,519,597,1271179000
ADVQ,20210930,1912,2073,1381,1541,3445451000
ADVS,20210930,488,727,488,727,216060300
ADVT,20210930,3278,3538,2010,2257,5419882000
ADVU,20210930,796,2152,796,2129,11089630000
ADVV,20210930,239,439,239,439,70070400
ADVX,20210930,827,1334,827,1334,313757500
AEX,20210930,782.67,785.18,771.79,771.94,0
AMX,20210930,1075.93,1080.32,1065.06,1065.73,0
AORD,20210930,7500.2,7629.7,7500.2,7629.7,0
ASHD,20210930,88,1434,15,1351,0
ASHF,20210930,173,769,-599,-518,0
ASHR,20210930,2.96,3.11,0.57,0.61,0
ASHU,20210930,261,1206,39,833,0
ATX,20210930,3650.55,3687.91,3650.55,3658.93,0
AVDA,20210930,58.2,669.15,58.2,669.15,0
AVDC,20210930,1.09,4.19,-10.02,-5.54,0
AVDE,20210930,12.67,84.53,-517.07,-421.06,0
AVDN,20210930,11.68,93.87,-1625.57,-1625.57,0
AVDQ,20210930,276.11,2736.45,276.11,1670.46,0
AVDS,20210930,2.03,73.03,-3.09,17.98,0
AVDT,20210930,346,3100.9,346,714.04,0
AVDU,20210930,-143.12,8475.24,-213.3,3130.04,0
AVDV,20210930,-0.08,-0.08,-25.56,-14.85,0
AVDX,20210930,3.04,45.38,-16.1,-2.4,0
AVLD,20210930,2.04,1048.39,0.15,629.99,0
AVLF,20210930,2.65,532.19,-138.23,-12.54,0
AVLR,20210930,2.3,13.51,0.79,0.98,0
AVLU,20210930,4.69,1227.62,2.09,617.45,0
AVRA,20210930,12.24,22.28,10.47,20.62,0
AVRC,20210930,1.65,2,0.63,0.83,0
AVRE,20210930,1.56,1.71,0.57,0.68,0
AVRN,20210930,1.24,1.66,0.43,0.43,0
AVRQ,20210930,5.25,5.25,1.92,1.94,0
AVRS,20210930,1.42,2.32,0.92,1.09,0
AVRT,20210930,3.94,3.94,1.14,1.15,0
AVRU,20210930,0.58,2.02,0.58,1.39,0
AVRV,20210930,0.98,0.98,0.6,0.82,0
AVRX,20210930,1.26,1.47,0.87,0.99,0
AVVA,20210930,63.37,703.25,63.37,703.25,0
AVVC,20210930,2.76,27.62,2.76,27.62,0
AVVE,20210930,34.99,936.25,34.99,936.25,0
AVVN,20210930,59.18,1431.39,59.18,1271.17,0
AVVQ,20210930,340.97,3573.34,340.97,3445.45,0
AVVS,20210930,6.77,216.06,6.77,216.06,0
AVVT,20210930,463.53,5643.27,463.53,5419.88,0
AVVU,20210930,199.19,16708.57,199.19,11089.62,0
AVVV,20210930,5.02,70.07,5.02,70.07,0
AVVX,20210930,14.56,313.75,14.56,313.75,0
AXJO,20210930,7196.7,7332.2,7196.7,7332.2,0
BANK,20210930,4797.17,4806.96,4717.23,4717.25,0
BCMA,20210930,2786,3008,1566,1639,0
BCMC,20210930,100.21,100.43,99.99,100.11,0
BCMD,20210930,1285,2806,1198,2764,0
BCME,20210930,265,332,247,282,0
BCMF,20210930,225,366,204,345,0
BCMG,20210930,48,48,23,30,0
BCMM,20210930,100.35,100.56,99.56,99.63,0
BCMU,20210930,169,169,69,97,0
BDMA,20210930,1901,2017,1901,2017,0
BDMC,20210930,99.37,99.48,99.37,99.47,0
BDMD,20210930,2269,2398,2269,2396,0
BDME,20210930,204,259,204,259,0
BDMF,20210930,306,361,306,361,0
BDMG,20210930,27,34,27,34,0
BDMM,20210930,99.47,99.49,99.47,99.49,0
BDMU,20210930,70,87,70,87,0
BEL,20210930,4151.6,4171.17,4138.94,4158.89,0
BFMA,20210930,3340,3510,3340,3509,0
BFMC,20210930,100.41,100.43,100.39,100.43,0
BFMD,20210930,832,915,832,915,0
BFME,20210930,267,339,267,339,0
BFMF,20210930,242,278,242,278,0
BFMG,20210930,26,34,26,34,0
BFMM,20210930,101.62,101.62,101.57,101.57,0
BFMU,20210930,68,78,68,76,0
BGMA,20210930,2414,2546,2414,2545,0
BGMC,20210930,100.44,100.44,100.32,100.32,0
BGMD,20210930,1731,1849,1731,1848,0
BGME,20210930,283,329,283,329,0
BGMF,20210930,226,284,226,284,0
BGMG,20210930,24,35,24,35,0
BGMM,20210930,100.5,100.5,100.49,100.49,0
BGMU,20210930,94,106,94,106,0
BKX,20210930,132.99,133.17,130.43,130.45,0
BTK,20210930,5651.59,5739.03,5651.59,5679.05,0
BUX,20210930,52009.94,53011.56,52009.94,52854.65,0
BVSP,20210930,111117,112371,110743,110979,0
BWH,20210930,262.56,270.42,261.18,268.2,0
CAC,20210930,6615.99,6621.75,6509.23,6520.01,0
CASH,20210930,1,1,1,1,0
COMP,20210930,14587.25,14632.23,14444.3,14448.58,0
CPC,20210930,1.09,1.09,1.09,1.09,0
CPCI,20210930,1.61,1.61,1.61,1.61,0
CPCS,20210930,0.84,0.84,0.84,0.84,0
CSE,20210930,1212.43,1230.89,1176.54,1228.56,0
CYM,20210930,23.97,24.04,23.76,23.76,0
DAX,20210930,15434.33,15448.52,15246,15260.69,0
